,id,Name,Birth Date,Country of Origin,Hat,Hat Brand,Hat Colour,Glasses,Glasses Brand,Glasses Colour,Shirt,Shirt brand,Shirt colour,Jeans,Jeans brand,Jeans colour,Bag,Bag Brand,Bag Colour,Cane,Shoes,Shoes Brand,Shoes colour
231,232,Weston,21/08/1987,India,Bobble hat,Beanie Babies,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Skechers,Brown
232,233,Winona,17/03/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
233,234,Wendy,05/08/1987,Brazil,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Vans,Brown
234,235,Wendy,23/03/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Burberry,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Nike,Brown
235,236,Winona,04/04/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
236,237,Wallace,05/02/1987,India,Bobble hat,Carhartt,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,New Balance,Brown
237,238,Wallace,03/01/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
238,239,Winona,25/04/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Tommy Hilfiger,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Skechers,Brown
239,240,Wesley,15/12/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
240,241,Wendy,14/04/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
241,242,Walter,19/08/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Skechers,Brown
242,243,Wanda,10/03/1987,France,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Nike,Brown
243,244,Winona,23/09/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Skechers,Brown
244,245,Wallace,17/11/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Converse,Brown
245,246,Winona,20/01/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Nike,Brown
246,247,Whitley,14/09/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Puma,Brown
247,248,Wyatt,05/01/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,New Balance,Brown
248,249,Wendy,15/07/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Skechers,Brown
249,250,Wallace,10/03/1987,China,Bobble hat,Columbia,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
250,251,Walter,04/05/1987,France,Bobble hat,Fjällräven,Red and white,Round Glasses,Versace,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Under Armour,Brown
251,252,Wallace,22/06/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
252,253,Whitney,21/03/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Reebok,Brown
253,254,Wilhelm,12/06/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Under Armour,Brown
254,255,Wayne,12/02/1987,Japan,Bobble hat,Fjällräven,Red and white,Round Glasses,Versace,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
255,256,Wesley,19/01/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
256,257,Winona,27/10/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Adidas,Brown
257,258,Wesley,09/01/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Reebok,Brown
258,259,Wallace,15/06/1987,France,Bobble hat,Fjällräven,Red and white,Round Glasses,Gucci,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Jordan,Brown
259,260,Wesley,29/09/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
260,261,Wren,26/07/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Versace,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Under Armour,Brown
261,262,Weston,28/12/1987,France,Bobble hat,Woolrich,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
262,263,Whitley,20/09/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
263,264,Wallace,13/01/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Prada,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
264,265,Walter,07/12/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
265,266,Walter,16/11/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
266,267,Wilma,06/09/1987,France,Bobble hat,The North Face,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
267,268,Wendy,22/11/1987,Japan,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
268,269,Wendy,14/01/1987,Brazil,Bobble hat,Canada Goose,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,New Balance,Brown
269,270,Winona,11/03/1987,France,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Jordan,Brown
270,271,Wayne,13/04/1987,United Kingdom,Bobble hat,The North Face,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
271,272,Walker,10/05/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Nike,Brown
272,273,Wallace,14/03/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Skechers,Brown
273,274,Wallace,16/11/1987,France,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Jordan,Brown
274,275,Wallace,05/11/1987,Brazil,Bobble hat,The North Face,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Converse,Brown
275,276,Winston,27/09/1987,United Kingdom,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Skechers,Brown
276,277,Winona,21/03/1987,China,Bobble hat,The North Face,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Puma,Brown
277,278,Wallace,20/10/1987,Brazil,Bobble hat,The North Face,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Skechers,Brown
278,279,Wilhelm,07/02/1987,India,Bobble hat,Beanie Babies,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,New Balance,Brown
279,280,Walter,13/01/1987,United Kingdom,Bobble hat,Carhartt,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Adidas,Brown
280,281,Winona,19/12/1987,India,Bobble hat,Beanie Babies,Red and white,Round Glasses,Versace,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Vans,Brown
281,282,Wayne,21/06/1987,China,Bobble hat,Woolrich,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
282,283,Winston,31/08/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Converse,Brown
283,284,Wren,30/04/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Tommy Hilfiger,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
284,285,Winona,15/01/1987,India,Bobble hat,Fjällräven,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
285,286,Winona,21/12/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
286,287,Wallace,06/01/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
287,288,Wallace,12/12/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
288,289,Wanda,18/07/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Tommy Hilfiger,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
289,290,Walter,26/04/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Skechers,Brown
290,291,Wayne,21/12/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
291,292,Winston,31/01/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,New Balance,Brown
292,293,Wendy,04/08/1987,China,Bobble hat,Canada Goose,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Converse,Brown
293,294,Wendy,25/09/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
294,295,Wendy,08/05/1987,United Kingdom,Bobble hat,Barts,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Vans,Brown
295,296,Willa,09/05/1987,India,Bobble hat,Canada Goose,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Under Armour,Brown
296,297,Winona,14/02/1987,France,Bobble hat,Woolrich,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Skechers,Brown
297,298,Winona,07/08/1987,Brazil,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
298,299,Walter,24/12/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
299,300,Walter,29/11/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Nike,Brown
300,301,Wendy,03/01/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
301,302,Warren,10/08/1987,United Kingdom,Bobble hat,Fjällräven,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
302,303,Walter,20/09/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Under Armour,Brown
303,304,Winona,23/12/1987,Japan,Bobble hat,Fjällräven,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
304,305,Wayne,10/12/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
305,306,Wendy,22/02/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Skechers,Brown
306,307,Winona,07/04/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
307,308,Wayne,31/10/1987,Japan,Bobble hat,UGG,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Vans,Brown
308,309,Wanda,12/01/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Converse,Brown
309,310,Wanda,07/05/1987,Japan,Bobble hat,Fjällräven,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Nike,Brown
310,311,Winifred,10/02/1987,India,Bobble hat,The North Face,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
311,312,Wesley,27/10/1987,India,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Converse,Brown
312,313,Winona,21/05/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
313,314,Wanda,28/12/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
314,315,Winona,08/06/1987,China,Bobble hat,UGG,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Skechers,Brown
315,316,Wallace,01/04/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Skechers,Brown
316,317,Weston,05/12/1987,Japan,Bobble hat,Barts,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Under Armour,Brown
317,318,Wayne,18/10/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Nike,Brown
318,319,Wendy,01/02/1987,United States,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Jordan,Brown
319,320,Wayne,24/08/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,New Balance,Brown
320,321,Wayne,19/07/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
321,322,Wesley,19/10/1987,France,Bobble hat,Canada Goose,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
322,323,Winona,30/01/1987,Japan,Bobble hat,Fjällräven,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
323,324,Walter,11/11/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
324,325,Warren,28/11/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Under Armour,Brown
325,326,Winona,26/05/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Versace,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Skechers,Brown
326,327,Wayne,05/03/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Under Armour,Brown
327,328,Walter,18/11/1987,India,Bobble hat,Fjällräven,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Calvin Klein,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
328,329,Wayne,04/06/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Converse,Brown
329,330,Winona,27/04/1987,Brazil,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
330,331,Winona,11/04/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
331,332,Winifred,17/03/1987,United Kingdom,Bobble hat,Columbia,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
332,333,Wallace,04/07/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Under Armour,Brown
